85	Furious Seven	Action;Crime;Thriller	Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.	James Wan	Vin Diesel; Paul Walker; Dwayne Johnson; Jason Statham	2015	137	7.2	301249	350.03	67
135	Furious 6	Action;Crime;Thriller	Hobbs has Dominic and Brian reassemble their crew to take down a team of mercenaries: Dominic unexpectedly gets convoluted also facing his presumed deceased girlfriend; Letty.	Justin Lin	Vin Diesel; Paul Walker; Dwayne Johnson; Michelle Rodriguez	2013	130	7.1	318051	238.67	61
320	Fast Five	Action;Crime;Thriller	Dominic Toretto and his crew of street racers plan a massive heist to buy their freedom while in the sights of a powerful Brazilian drug lord and a dangerous federal agent.	Justin Lin	Vin Diesel; Paul Walker; Dwayne Johnson; Jordana Brewster	2011	131	7.3	300803	209.81	66
790	Hancock	Action;Crime;Drama	Hancock is a superhero whose ill considered behavior regularly causes damage in the millions. He changes when the person he saves helps him improve his public image.	Peter Berg	Will Smith; Charlize Theron; Jason Bateman; Jae Head	2008	92	6.4	366138	227.95	49
											
	fantasy										
Rank	Title	Genre	Description	Director	Actors	Year	Runtime (Minutes)	Rating	Votes	Revenue (Millions)	Metascore
51	Star Wars: Episode VII - The Force Awakens	Action;Adventure;Fantasy	Three decades after the defeat of the Galactic Empire; a new threat arises. The First Order attempts to rule the galaxy and only a ragtag group of heroes can stop them; along with the help of the Resistance.	J.J. Abrams	Daisy Ridley; John Boyega; Oscar Isaac; Domhnall Gleeson	2015	136	8.1	661608	936.63	81
79	Pirates of the Caribbean: Dead Man's Chest	Action;Adventure;Fantasy	Jack Sparrow races to recover the heart of Davy Jones to avoid enslaving his soul to Jones' service; as other friends and foes seek the heart for their own agenda as well.	Gore Verbinski	Johnny Depp; Orlando Bloom; Keira Knightley; Jack Davenport	2006	151	7.3	552027	423.03	53
88	Avatar	Action;Adventure;Fantasy	A paraplegic marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.	James Cameron	Sam Worthington; Zoe Saldana; Sigourney Weaver; Michelle Rodriguez	2009	162	7.8	935408	760.51	83
115	Harry Potter and the Deathly Hallows: Part 2	Adventure;Drama;Fantasy	Harry; Ron and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.	David Yates	Daniel Radcliffe; Emma Watson; Rupert Grint; Michael Gambon	2011	130	8.1	590595	380.96	87
548	Alice in Wonderland	Adventure;Family;Fantasy	Nineteen-year-old Alice returns to the magical world from her childhood adventure; where she reunites with her old friends and learns of her true destiny: to end the Red Queen's reign of terror.	Tim Burton	Mia Wasikowska; Johnny Depp; Helena Bonham Carter;Anne Hathaway	2010	108	6.5	324898	334.19	53
